id,course_title,Investment,Banking,Financial,Modeling,Business,Analysis,Consultant,Excel,Profits,Trading,Stocks,Options,Forex,Python,Patterns,Management,Risk,Statements,Accounting,CryptoCurrency,PowerPoint,Robot,Dividend,API,Economics,Taxes,Quickbooks,Psychology,MutualFunds,Crowdfunding,Legal,Beginner,Intermediate,Expert
133,Learn how to INVEST for huge profits or make it big trading!,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,How to Fund your Million Dollar Idea: Equity Debt Unfund,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,Mastering Candlestick Charting : High Probability Trading,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,Binary Options Course - Level 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,Stock Technical Analysis with R,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,Apply finance concepts for smart project management,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,Introduction to Futures Trading and Live Trade Demonstration,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,Crowdfunding to Win,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
141,Comprehensive Forex Mastery Program,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,Preparation of Consolidated Financial Statements (Basic),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,Succeed in Bonds Even if You Don't Know Where to Start,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,Learn to Trade for Profit: Ten Most Profitable Trading Rules,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,Stock Options Trades Using Interactive Brokers,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Trading Seasonal Price Patterns in Stocks Futures & Forex!,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
